"country_name","country_code","yr2000","yr2001","yr2002","yr2003","yr2004","yr2005","yr2006","yr2007","yr2008","yr2009","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015"
"India","IND",443.31419339174,451.573001074356,470.98678594916,546.726614478728,627.774247283919,714.861013495661,806.753280628799,1028.33477107667,998.522339019268,1101.96084002239,1357.56371913262,1458.10352686177,1443.87952939042,1449.6059123387,1573.88149211052,1605.60543355488
"Indonesia","IDN",780.190200986579,748.257615698969,900.177575713531,1065.64853925461,1150.26131499565,1263.28732054575,1589.80148866142,1860.00276310682,2166.85416700025,2261.24722374577,3122.36281521649,3643.04393616102,3694.34894603237,3623.91158235134,3491.62479085767,3331.69512758628
"Iran, Islamic Rep.","IRN",1670.00946997849,1909.41227771353,1911.67879150172,2253.93613228235,2756.19874219366,3246.05102938326,3774.35784149991,4904.66625185167,5717.31446462719,5709.94798012865,6599.66093791004,7781.40611374433,7927.84690171722,6018.32447332471,5585.52675758303,4904.32687747976
"Iraq","IRQ",NA,NA,NA,NA,1391.96348940291,1855.52200375202,2373.21478464391,3182.94798201412,4636.61097758271,3853.94093481185,4657.28042580536,6045.49555071698,6836.0273134631,7076.55460775667,6818.8046210291,4989.80307473071
"Ireland","IRL",26241.3646146973,28227.7275276623,32541.0986016666,41106.9252651794,47631.0106571223,50878.2236116364,54306.4293166897,61359.7413812502,61262.1005610307,52105.1524837739,48715.1768553933,51848.9097301621,48917.8975571766,51590.1884453629,55492.982676213,61995.4227789928
"Isle of Man","IMN",20322.9461485526,21352.2160500672,24864.4362949409,29520.0322986677,35492.4355277896,37761.0360500591,42106.8011803733,54194.9864112231,70994.4089541263,65031.3318703261,69766.5211886388,77351.9588821432,76104.681367227,80431.6727965138,88974.2286497928,81606.2800333934
"Israel","ISR",21043.5749322433,20306.9322388455,18435.8947627594,18979.3234467797,19896.8177404384,20566.6454898642,21837.3784883786,24924.3309496648,29567.803875678,27715.636808319,30693.5930786871,33669.2464692884,32511.2378524925,36309.4688256886,37678.8897743182,35776.7951710172
"Italy","ITA",20087.5919858794,20483.2159949974,22270.1441234282,27465.6752987224,31259.7164954309,32043.1403684119,33501.6581673044,37822.6652377427,40778.3427367209,37079.7586704546,36000.5201179254,38599.0622070322,35053.5262442572,35549.9746972954,35518.4152916749,30230.2263021296
"Jamaica","JAM",3384.69486090546,3431.41646921996,3599.9731722032,3469.15156513456,3725.10909281175,4089.19844248346,4321.04332724263,4633.94438578828,4917.71839830304,4316.23105265842,4704.05445468166,5111.471413428,5209.85193130013,4989.17139091154,4833.79031821405,4907.50371974316
"Japan","JPN",38532.0408752935,33846.4656414342,32289.3505360726,34808.3909176613,37688.7223359406,37217.648727917,35433.988963743,35275.2284312667,39339.2975731826,40855.1756354596,44507.6763859172,48167.9972684965,48603.4766497749,40454.4474578903,38109.4121125573,34524.4698609337
"Jordan","JOR",1674.82526125655,1744.46360179843,1827.335752764,1902.58990224346,2073.64132134865,2214.01781725196,2548.26865824395,2773.74024212779,3398.15172154303,3504.00246037434,3690.11326778672,3816.27925808967,3877.33934463778,3998.02747275799,4072.76547535039,4105.44896083238
"Kazakhstan","KAZ",1229.00095844501,1490.92708987166,1658.03078544636,2068.12411808473,2874.28829127649,3771.27895733845,5291.57565018652,6771.41479681885,8513.56464506814,7165.22317483703,9070.48825285747,11634.0019047654,12386.7000029472,13890.6317716835,12807.2606866152,10510.7718884148
"Kenya","KEN",397.482658777519,395.329531783431,389.542710991101,429.787843737162,451.668715914539,511.61642223943,685.954532240082,825.666597622313,902.070025813736,905.131786128485,951.687961116879,971.63332904823,1136.87140571776,1210.38801408195,1315.80453537238,1336.88334885603
"Kiribati","KIR",796.888174759841,735.026294655946,826.945280073816,1015.72417177973,1131.14000453575,1214.55666670492,1168.44853098837,1374.45215276949,1428.12051619855,1311.99900201253,1516.81186907787,1735.01835782836,1788.50542068887,1715.76533141614,1642.76259749601,1542.5752495838
"Korea, Dem. People’s Rep.","PRK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Korea, Rep.","KOR",12256.9935679503,11561.2483689073,13165.0657360554,14672.8574703505,16496.1200942502,19402.5026259549,21743.4774514255,24086.4104391677,21350.427979823,19143.8516053026,23087.2256438476,25096.2638838239,25466.7605170594,27182.7343101935,29249.5752209742,28732.2310762599
"Kosovo","XKX",1087.76240120887,1490.36103250226,1413.53258703188,1638.10473921653,2086.53732547162,2147.46427105376,2237.12659780918,2685.98622183949,3254.82026926105,3209.69410857047,3286.55744309904,3741.87505207304,3596.80465465781,3891.26636343866,4080.33071724595,3603.02550073134
"Kuwait","KWT",18440.3785212446,16587.1776713403,17846.3260571477,22148.378150112,27011.7276502758,35591.0057787851,42781.3664951149,45782.2765557698,55494.9509906458,37561.67266643,38577.4982788212,48631.691300679,51979.1051680637,49388.1374119381,44062.3170375209,29869.5293908248
"Kyrgyz Republic","KGZ",279.619569260939,308.409611591149,321.727033227846,380.506432394744,433.234976590867,476.552129968975,543.110702403072,721.768690838857,966.393627185372,871.224389337854,880.037775119109,1123.8831680627,1177.97473487848,1282.43716202467,1279.76978265986,1121.08283510739
"Lao PDR","LAO",325.186998225846,326.94190759036,320.061517921728,362.821413486106,417.928504195201,475.610713513113,590.63270735226,710.344815049449,900.323671821273,948.653932285177,1140.59920478703,1378.36136494331,1581.39540349425,1825.66511330676,1998.33521471699,2134.71179567796
"Latvia","LVA",3351.23070568401,3566.17111854204,4125.21003421908,5127.59357483893,6343.14352575203,7552.87389420335,9663.37345136659,14042.4624200212,16376.9983633933,12257.2165683051,11348.4062304673,13832.3911780536,13850.6428153434,15041.1744584981,15740.3267490719,13698.9379476476
"Lebanon","LBN",4491.63725889302,4422.38707627011,4579.45959271967,4576.39074592193,4630.78957180601,4575.10551159354,4626.85980796531,5207.79600017537,6111.33241147951,7354.95360478492,7761.6461905722,7674.83535037848,7950.69537825963,7931.08047584526,7686.25602996455,7644.54865718211
"Lesotho","LSO",436.488351988266,405.605313664166,382.190173495711,573.653767611567,753.380786823367,842.813053188004,904.603402216593,863.779631511433,884.962674751359,890.99638326859,1137.27570186144,1308.69006593273,1253.69620212555,1193.71325665948,1223.33303163915,1152.13982724874
"Liberia","LBR",306.832894733147,306.710355401471,306.473736986024,243.089340532418,286.064998942803,294.893036795442,336.11567425435,396.601761281558,478.399937913334,470.947619596855,513.445698620224,596.897081053795,657.936256349955,721.930055405248,721.182794835652,710.383857717515
"Libya","LBY",7142.77445181509,6266.49097233061,3703.04830816852,4673.14391286115,5800.59796851498,8163.01077781973,9336.35666999496,11300.1913436773,14382.5762948433,10275.266564444,12064.7806924218,5554.1791642315,13025.2813934413,10363.7894894551,6466.91027014384,4337.91913919348
